# DerivedCombiningClass-15.0.0.txt
# Date: 2022-04-26, 23:14:29 GMT
# © 2022 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see https://www.unicode.org/reports/tr44/

# ================================================

# Combining Class (listing UnicodeData.txt, field 3: see UAX #44: https://www.unicode.org/reports/tr44/)

#  All code points not explicitly listed for Canonical_Combining_Class
#  have the value Not_Reordered (0).

# @missing: 0000..10FFFF; Not_Reordered

# ================================================

# Canonical_Combining_Class=Not_Reordered

10A50..10A58  ; 0 # Po   [9] KHAROSHTHI PUNCTUATION DOT..KHAROSHTHI PUNCTUATION LINES
10A60..10A7C  ; 0 # Lo  [29] OLD SOUTH ARABIAN LETTER HE..OLD SOUTH ARABIAN LETTER THETH
10A7D..10A7E  ; 0 # No   [2] OLD SOUTH ARABIAN NUMBER ONE..OLD SOUTH ARABIAN NUMBER FIFTY
10A7F         ; 0 # Po       OLD SOUTH ARABIAN NUMERIC INDICATOR
10A80..10A9C  ; 0 # Lo  [29] OLD NORTH ARABIAN LETTER HEH..OLD NORTH ARABIAN LETTER ZAH
10A9D..10A9F  ; 0 # No   [3] OLD NORTH ARABIAN NUMBER ONE..OLD NORTH ARABIAN NUMBER TWENTY
10AC0..10AC7  ; 0 # Lo   [8] MANICHAEAN LETTER ALEPH..MANICHAEAN LETTER WAW
10AC8         ; 0 # So       MANICHAEAN SIGN UD
10AC9..10AE4  ; 0 # Lo  [28] MANICHAEAN LETTER ZAYIN..MANICHAEAN LETTER TAW
10AEB..10AEF  ; 0 # No   [5] MANICHAEAN NUMBER ONE..MANICHAEAN NUMBER ONE HUNDRED
10AF0..10AF6  ; 0 # Po   [7] MANICHAEAN PUNCTUATION STAR..MANICHAEAN PUNCTUATION LINE FILLER
10B00..10B35  ; 0 # Lo  [54] AVESTAN LETTER A..AVESTAN LETTER HE
10B39..10B3F  ; 0 # Po   [7] AVESTAN ABBREVIATION MARK..LARGE ONE RING OVER TWO RINGS PUNCTUATION
10B40..10B55  ; 0 # Lo  [22] INSCRIPTIONAL PARTHIAN LETTER ALEPH..INSCRIPTIONAL PARTHIAN LETTER TAW
10B58..10B5F  ; 0 # No   [8] INSCRIPTIONAL PARTHIAN NUMBER ONE..INSCRIPTIONAL PARTHIAN NUMBER ONE THOUSAND
10B60..10B72  ; 0 # Lo  [19] INSCRIPTIONAL PAHLAVI LETTER ALEPH..INSCRIPTIONAL PAHLAVI LETTER TAW
10B78..10B7F  ; 0 # No   [8] INSCRIPTIONAL PAHLAVI NUMBER ONE..INSCRIPTIONAL PAHLAVI NUMBER ONE THOUSAND
10B80..10B91  ; 0 # Lo  [18] PSALTER PAHLAVI LETTER ALEPH..PSALTER PAHLAVI LETTER TAW
10B99..10B9C  ; 0 # Po   [4] PSALTER PAHLAVI SECTION MARK..PSALTER PAHLAVI FOUR DOTS WITH DOT
10BA9..10BAF  ; 0 # No   [7] PSALTER PAHLAVI NUMBER ONE..PSALTER PAHLAVI NUMBER ONE HUNDRED
10C00..10C48  ; 0 # Lo  [73] OLD TURKIC LETTER ORKHON A..OLD TURKIC LETTER ORKHON BASH
10C80..10CB2  ; 0 # L&  [51] OLD HUNGARIAN CAPITAL LETTER A..OLD HUNGARIAN CAPITAL LETTER US
10CC0..10CF2  ; 0 # L&  [51] OLD HUNGARIAN SMALL LETTER A..OLD HUNGARIAN SMALL LETTER US
10CFA..10CFF  ; 0 # No   [6] OLD HUNGARIAN NUMBER ONE..OLD HUNGARIAN NUMBER ONE THOUSAND
10D00..10D23  ; 0 # Lo  [36] HANIFI ROHINGYA LETTER A..HANIFI ROHINGYA MARK NA KHONNA
10D30..10D39  ; 0 # Nd  [10] HANIFI ROHINGYA DIGIT ZERO..HANIFI ROHINGYA DIGIT NINE
10E60..10E7E  ; 0 # No  [31] RUMI DIGIT ONE..RUMI FRACTION TWO THIRDS
10E80..10EA9  ; 0 # Lo  [42] YEZIDI LETTER ELIF..YEZIDI LETTER ET
10EAD         ; 0 # Pd       YEZIDI HYPHENATION MARK
10EB0..10EB1  ; 0 # Lo   [2] YEZIDI LETTER LAM WITH DOT ABOVE..YEZIDI LETTER YOT WITH CIRCUMFLEX ABOVE
10F00..10F1C  ; 0 # Lo  [29] OLD SOGDIAN LETTER ALEPH..OLD SOGDIAN LETTER FINAL TAW WITH VERTICAL TAIL
10F1D..10F26  ; 0 # No  [10] OLD SOGDIAN NUMBER ONE..OLD SOGDIAN FRACTION ONE HALF
10F27         ; 0 # Lo       OLD SOGDIAN LIGATURE AYIN-DALETH
10F30..10F45  ; 0 # Lo  [22] SOGDIAN LETTER ALEPH..SOGDIAN INDEPENDENT SHIN
10F51..10F54  ; 0 # No   [4] SOGDIAN NUMBER ONE..SOGDIAN NUMBER ONE HUNDRED
10F55..10F59  ; 0 # Po   [5] SOGDIAN PUNCTUATION TWO VERTICAL BARS..SOGDIAN PUNCTUATION HALF CIRCLE WITH DOT
10F70..10F81  ; 0 # Lo  [18] OLD UYGHUR LETTER ALEPH..OLD UYGHUR LETTER LESH
10F86..10F89  ; 0 # Po   [4] OLD UYGHUR PUNCTUATION BAR..OLD UYGHUR PUNCTUATION FOUR DOTS
10FB0..10FC4  ; 0 # Lo  [21] CHORASMIAN LETTER ALEPH..CHORASMIAN LETTER TAW
10FC5..10FCB  ; 0 # No   [7] CHORASMIAN NUMBER ONE..CHORASMIAN NUMBER ONE HUNDRED
10FE0..10FF6  ; 0 # Lo  [23] ELYMAIC LETTER ALEPH..ELYMAIC LIGATURE ZAYIN-YODH
11000         ; 0 # Mc       BRAHMI SIGN CANDRABINDU
11001         ; 0 # Mn       BRAHMI SIGN ANUSVARA
11002         ; 0 # Mc       BRAHMI SIGN VISARGA
11003..11037  ; 0 # Lo  [53] BRAHMI SIGN JIHVAMULIYA..BRAHMI LETTER OLD TAMIL NNNA
11038..11045  ; 0 # Mn  [14] BRAHMI VOWEL SIGN AA..BRAHMI VOWEL SIGN AU
11047..1104D  ; 0 # Po   [7] BRAHMI DANDA..BRAHMI PUNCTUATION LOTUS
11052..11065  ; 0 # No  [20] BRAHMI NUMBER ONE..BRAHMI NUMBER ONE THOUSAND
11066..1106F  ; 0 # Nd  [10] BRAHMI DIGIT ZERO..BRAHMI DIGIT NINE
11071..11072  ; 0 # Lo   [2] BRAHMI LETTER OLD TAMIL SHORT E..BRAHMI LETTER OLD TAMIL SHORT O
11073..11074  ; 0 # Mn   [2] BRAHMI VOWEL SIGN OLD TAMIL SHORT E..BRAHMI VOWEL SIGN OLD TAMIL SHORT O
11075         ; 0 # Lo       BRAHMI LETTER OLD TAMIL LLA
11080..11081  ; 0 # Mn   [2] KAITHI SIGN CANDRABINDU..KAITHI SIGN ANUSVARA
11082         ; 0 # Mc       KAITHI SIGN VISARGA
11083..110AF  ; 0 # Lo  [45] KAITHI LETTER A..KAITHI LETTER HA
110B0..110B2  ; 0 # Mc   [3] KAITHI VOWEL SIGN AA..KAITHI VOWEL SIGN II
110B3..110B6  ; 0 # Mn   [4] KAITHI VOWEL SIGN U..KAITHI VOWEL SIGN AI
110B7..110B8  ; 0 # Mc   [2] KAITHI VOWEL SIGN O..KAITHI VOWEL SIGN AU
110BB..110BC  ; 0 # Po   [2] KAITHI ABBREVIATION SIGN..KAITHI ENUMERATION SIGN
110BD         ; 0 # Cf       KAITHI NUMBER SIGN
110BE..110C1  ; 0 # Po   [4] KAITHI SECTION MARK..KAITHI DOUBLE DANDA
110C2         ; 0 # Mn       KAITHI VOWEL SIGN VOCALIC R
110CD         ; 0 # Cf       KAITHI NUMBER SIGN ABOVE
110D0..110E8  ; 0 # Lo  [25] SORA SOMPENG LETTER SAH..SORA SOMPENG LETTER MAE
110F0..110F9  ; 0 # Nd  [10] SORA SOMPENG DIGIT ZERO..SORA SOMPENG DIGIT NINE
11103..11126  ; 0 # Lo  [36] CHAKMA LETTER AA..CHAKMA LETTER HAA
11127..1112B  ; 0 # Mn   [5] CHAKMA VOWEL SIGN A..CHAKMA VOWEL SIGN UU
1112C         ; 0 # Mc       CHAKMA VOWEL SIGN E
1112D..11132  ; 0 # Mn   [6] CHAKMA VOWEL SIGN AI..CHAKMA AU MARK
11136..1113F  ; 0 # Nd  [10] CHAKMA DIGIT ZERO..CHAKMA DIGIT NINE
11140..11143  ; 0 # Po   [4] CHAKMA SECTION MARK..CHAKMA QUESTION MARK
11144         ; 0 # Lo       CHAKMA LETTER LHAA
11145..11146  ; 0 # Mc   [2] CHAKMA VOWEL SIGN AA..CHAKMA VOWEL SIGN EI
11147         ; 0 # Lo       CHAKMA LETTER VAA
11150..11172  ; 0 # Lo  [35] MAHAJANI LETTER A..MAHAJANI LETTER RRA
11174..11175  ; 0 # Po   [2] MAHAJANI ABBREVIATION SIGN..MAHAJANI SECTION MARK
11176         ; 0 # Lo       MAHAJANI LIGATURE SHRI
11180..11181  ; 0 # Mn   [2] SHARADA SIGN CANDRABINDU..SHARADA SIGN ANUSVARA
11182         ; 0 # Mc       SHARADA SIGN VISARGA
11183..111B2  ; 0 # Lo  [48] SHARADA LETTER A..SHARADA LETTER HA
111B3..111B5  ; 0 # Mc   [3] SHARADA VOWEL SIGN AA..SHARADA VOWEL SIGN II
111B6..111BE  ; 0 # Mn   [9] SHARADA VOWEL SIGN U..SHARADA VOWEL SIGN O
111BF         ; 0 # Mc       SHARADA VOWEL SIGN AU
111C1..111C4  ; 0 # Lo   [4] SHARADA SIGN AVAGRAHA..SHARADA OM
111C5..111C8  ; 0 # Po   [4] SHARADA DANDA..SHARADA SEPARATOR
111C9         ; 0 # Mn       SHARADA SANDHI MARK
111CB..111CC  ; 0 # Mn   [2] SHARADA VOWEL MODIFIER MARK..SHARADA EXTRA SHORT VOWEL MARK
111CD         ; 0 # Po       SHARADA SUTRA MARK
111CE         ; 0 # Mc       SHARADA VOWEL SIGN PRISHTHAMATRA E
111CF         ; 0 # Mn       SHARADA SIGN INVERTED CANDRABINDU
111D0..111D9  ; 0 # Nd  [10] SHARADA DIGIT ZERO..SHARADA DIGIT NINE
111DA         ; 0 # Lo       SHARADA EKAM
111DB         ; 0 # Po       SHARADA SIGN SIDDHAM
111DC         ; 0 # Lo       SHARADA HEADSTROKE
111DD..111DF  ; 0 # Po   [3] SHARADA CONTINUATION SIGN..SHARADA SECTION MARK-2
111E1..111F4  ; 0 # No  [20] SINHALA ARCHAIC DIGIT ONE..SINHALA ARCHAIC NUMBER ONE THOUSAND
11200..11211  ; 0 # Lo  [18] KHOJKI LETTER A..KHOJKI LETTER JJA
11213..1122B  ; 0 # Lo  [25] KHOJKI LETTER NYA..KHOJKI LETTER LLA
1122C..1122E  ; 0 # Mc   [3] KHOJKI VOWEL SIGN AA..KHOJKI VOWEL SIGN II
1122F..11231  ; 0 # Mn   [3] KHOJKI VOWEL SIGN U..KHOJKI VOWEL SIGN AI
11232..11233  ; 0 # Mc   [2] KHOJKI VOWEL SIGN O..KHOJKI VOWEL SIGN AU
11234         ; 0 # Mn       KHOJKI SIGN ANUSVARA
11237         ; 0 # Mn       KHOJKI SIGN SHADDA
11238..1123D  ; 0 # Po   [6] KHOJKI DANDA..KHOJKI ABBREVIATION SIGN
1123E         ; 0 # Mn       KHOJKI SIGN SUKUN
1123F..11240  ; 0 # Lo   [2] KHOJKI LETTER QA..KHOJKI LETTER SHORT I
11241         ; 0 # Mn       KHOJKI VOWEL SIGN VOCALIC R
11280..11286  ; 0 # Lo   [7] MULTANI LETTER A..MULTANI LETTER GA
11288         ; 0 # Lo       MULTANI LETTER GHA
1128A..1128D  ; 0 # Lo   [4] MULTANI LETTER CA..MULTANI LETTER JJA
1128F..1129D  ; 0 # Lo  [15] MULTANI LETTER NYA..MULTANI LETTER BA
1129F..112A8  ; 0 # Lo  [10] MULTANI LETTER BHA..MULTANI LETTER RHA
112A9         ; 0 # Po       MULTANI SECTION MARK
112B0..112DE  ; 0 # Lo  [47] KHUDAWADI LETTER A..KHUDAWADI LETTER HA
112DF         ; 0 # Mn       KHUDAWADI SIGN ANUSVARA
112E0..112E2  ; 0 # Mc   [3] KHUDAWADI VOWEL SIGN AA..KHUDAWADI VOWEL SIGN II
112E3..112E8  ; 0 # Mn   [6] KHUDAWADI VOWEL SIGN U..KHUDAWADI VOWEL SIGN AU
112F0..112F9  ; 0 # Nd  [10] KHUDAWADI DIGIT ZERO..KHUDAWADI DIGIT NINE
11300..11301  ; 0 # Mn   [2] GRANTHA SIGN COMBINING ANUSVARA ABOVE..GRANTHA SIGN CANDRABINDU
11302..11303  ; 0 # Mc   [2] GRANTHA SIGN ANUSVARA..GRANTHA SIGN VISARGA
11305..1130C  ; 0 # Lo   [8] GRANTHA LETTER A..GRANTHA LETTER VOCALIC L
1130F..11310  ; 0 # Lo   [2] GRANTHA LETTER EE..GRANTHA LETTER AI
11313..11328  ; 0 # Lo  [22] GRANTHA LETTER OO..GRANTHA LETTER NA
1132A..11330  ; 0 # Lo   [7] GRANTHA LETTER PA..GRANTHA LETTER RA
11332..11333  ; 0 # Lo   [2] GRANTHA LETTER LA..GRANTHA LETTER LLA
11335..11339  ; 0 # Lo   [5] GRANTHA LETTER VA..GRANTHA LETTER HA
1133D         ; 0 # Lo       GRANTHA SIGN AVAGRAHA
1133E..1133F  ; 0 # Mc   [2] GRANTHA VOWEL SIGN AA..GRANTHA VOWEL SIGN I
11340         ; 0 # Mn       GRANTHA VOWEL SIGN II
11341..11344  ; 0 # Mc   [4] GRANTHA VOWEL SIGN U..GRANTHA VOWEL SIGN VOCALIC RR
11347..11348  ; 0 # Mc   [2] GRANTHA VOWEL SIGN EE..GRANTHA VOWEL SIGN AI
1134B..1134C  ; 0 # Mc   [2] GRANTHA VOWEL SIGN OO..GRANTHA VOWEL SIGN AU
11350         ; 0 # Lo       GRANTHA OM
11357         ; 0 # Mc       GRANTHA AU LENGTH MARK
1135D..11361  ; 0 # Lo   [5] GRANTHA SIGN PLUTA..GRANTHA LETTER VOCALIC LL
11362..11363  ; 0 # Mc   [2] GRANTHA VOWEL SIGN VOCALIC L..GRANTHA VOWEL SIGN VOCALIC LL
11400..11434  ; 0 # Lo  [53] NEWA LETTER A..NEWA LETTER HA
11435..11437  ; 0 # Mc   [3] NEWA VOWEL SIGN AA..NEWA VOWEL SIGN II
11438..1143F  ; 0 # Mn   [8] NEWA VOWEL SIGN U..NEWA VOWEL SIGN AI
11440..11441  ; 0 # Mc   [2] NEWA VOWEL SIGN O..NEWA VOWEL SIGN AU
11443..11444  ; 0 # Mn   [2] NEWA SIGN CANDRABINDU..NEWA SIGN ANUSVARA
11445         ; 0 # Mc       NEWA SIGN VISARGA
11447..1144A  ; 0 # Lo   [4] NEWA SIGN AVAGRAHA..NEWA SIDDHI
1144B..1144F  ; 0 # Po   [5] NEWA DANDA..NEWA ABBREVIATION SIGN
11450..11459  ; 0 # Nd  [10] NEWA DIGIT ZERO..NEWA DIGIT NINE
1145A..1145B  ; 0 # Po   [2] NEWA DOUBLE COMMA..NEWA PLACEHOLDER MARK
1145D         ; 0 # Po       NEWA INSERTION SIGN
1145F..11461  ; 0 # Lo   [3] NEWA LETTER VEDIC ANUSVARA..NEWA SIGN UPADHMANIYA
11480..114AF  ; 0 # Lo  [48] TIRHUTA ANJI..TIRHUTA LETTER HA
114B0..114B2  ; 0 # Mc   [3] TIRHUTA VOWEL SIGN AA..TIRHUTA VOWEL SIGN II
114B3..114B8  ; 0 # Mn   [6] TIRHUTA VOWEL SIGN U..TIRHUTA VOWEL SIGN VOCALIC LL
114B9         ; 0 # Mc       TIRHUTA VOWEL SIGN E
114BA         ; 0 # Mn       TIRHUTA VOWEL SIGN SHORT E
114BB..114BE  ; 0 # Mc   [4] TIRHUTA VOWEL SIGN AI..TIRHUTA VOWEL SIGN AU
114BF..114C0  ; 0 # Mn   [2] TIRHUTA SIGN CANDRABINDU..TIRHUTA SIGN ANUSVARA
114C1         ; 0 # Mc       TIRHUTA SIGN VISARGA
114C4..114C5  ; 0 # Lo   [2] TIRHUTA SIGN AVAGRAHA..TIRHUTA GVANG
114C6         ; 0 # Po       TIRHUTA ABBREVIATION SIGN
114C7         ; 0 # Lo       TIRHUTA OM
114D0..114D9  ; 0 # Nd  [10] TIRHUTA DIGIT ZERO..TIRHUTA DIGIT NINE
11580..115AE  ; 0 # Lo  [47] SIDDHAM LETTER A..SIDDHAM LETTER HA
115AF..115B1  ; 0 # Mc   [3] SIDDHAM VOWEL SIGN AA..SIDDHAM VOWEL SIGN II
115B2..115B5  ; 0 # Mn   [4] SIDDHAM VOWEL SIGN U..SIDDHAM VOWEL SIGN VOCALIC RR
115B8..115BB  ; 0 # Mc   [4] SIDDHAM VOWEL SIGN E..SIDDHAM VOWEL SIGN AU
115BC..115BD  ; 0 # Mn   [2] SIDDHAM SIGN CANDRABINDU..SIDDHAM SIGN ANUSVARA
115BE         ; 0 # Mc       SIDDHAM SIGN VISARGA
115C1..115D7  ; 0 # Po  [23] SIDDHAM SIGN SIDDHAM..SIDDHAM SECTION MARK WITH CIRCLES AND FOUR ENCLOSURES
115D8..115DB  ; 0 # Lo   [4] SIDDHAM LETTER THREE-CIRCLE ALTERNATE I..SIDDHAM LETTER ALTERNATE U
115DC..115DD  ; 0 # Mn   [2] SIDDHAM VOWEL SIGN ALTERNATE U..SIDDHAM VOWEL SIGN ALTERNATE UU
11600..1162F  ; 0 # Lo  [48] MODI LETTER A..MODI LETTER LLA
11630..11632  ; 0 # Mc   [3] MODI VOWEL SIGN AA..MODI VOWEL SIGN II
11633..1163A  ; 0 # Mn   [8] MODI VOWEL SIGN U..MODI VOWEL SIGN AI
1163B..1163C  ; 0 # Mc   [2] MODI VOWEL SIGN O..MODI VOWEL SIGN AU
1163D         ; 0 # Mn       MODI SIGN ANUSVARA
1163E         ; 0 # Mc       MODI SIGN VISARGA
11640         ; 0 # Mn       MODI SIGN ARDHACANDRA
11641..11643  ; 0 # Po   [3] MODI DANDA..MODI ABBREVIATION SIGN
11644         ; 0 # Lo       MODI SIGN HUVA
11650..11659  ; 0 # Nd  [10] MODI DIGIT ZERO..MODI DIGIT NINE
11660..1166C  ; 0 # Po  [13] MONGOLIAN BIRGA WITH ORNAMENT..MONGOLIAN TURNED SWIRL BIRGA WITH DOUBLE ORNAMENT
11680..116AA  ; 0 # Lo  [43] TAKRI LETTER A..TAKRI LETTER RRA
116AB         ; 0 # Mn       TAKRI SIGN ANUSVARA
116AC         ; 0 # Mc       TAKRI SIGN VISARGA
116AD         ; 0 # Mn       TAKRI VOWEL SIGN AA
116AE..116AF  ; 0 # Mc   [2] TAKRI VOWEL SIGN I..TAKRI VOWEL SIGN II
116B0..116B5  ; 0 # Mn   [6] TAKRI VOWEL SIGN U..TAKRI VOWEL SIGN AU
116B8         ; 0 # Lo       TAKRI LETTER ARCHAIC KHA
116B9         ; 0 # Po       TAKRI ABBREVIATION SIGN
116C0..116C9  ; 0 # Nd  [10] TAKRI DIGIT ZERO..TAKRI DIGIT NINE
11700..1171A  ; 0 # Lo  [27] AHOM LETTER KA..AHOM LETTER ALTERNATE BA
1171D..1171F  ; 0 # Mn   [3] AHOM CONSONANT SIGN MEDIAL LA..AHOM CONSONANT SIGN MEDIAL LIGATING RA
11720..11721  ; 0 # Mc   [2] AHOM VOWEL SIGN A..AHOM VOWEL SIGN AA
11722..11725  ; 0 # Mn   [4] AHOM VOWEL SIGN I..AHOM VOWEL SIGN UU
11726         ; 0 # Mc       AHOM VOWEL SIGN E
11727..1172A  ; 0 # Mn   [4] AHOM VOWEL SIGN AW..AHOM VOWEL SIGN AM
11730..11739  ; 0 # Nd  [10] AHOM DIGIT ZERO..AHOM DIGIT NINE
1173A..1173B  ; 0 # No   [2] AHOM NUMBER TEN..AHOM NUMBER TWENTY
1173C..1173E  ; 0 # Po   [3] AHOM SIGN SMALL SECTION..AHOM SIGN RULAI
1173F         ; 0 # So       AHOM SYMBOL VI
11740..11746  ; 0 # Lo   [7] AHOM LETTER CA..AHOM LETTER LLA
11800..1182B  ; 0 # Lo  [44] DOGRA LETTER A..DOGRA LETTER RRA
1182C..1182E  ; 0 # Mc   [3] DOGRA VOWEL SIGN AA..DOGRA VOWEL SIGN II
1182F..11837  ; 0 # Mn   [9] DOGRA VOWEL SIGN U..DOGRA SIGN ANUSVARA
11838         ; 0 # Mc       DOGRA SIGN VISARGA
1183B         ; 0 # Po       DOGRA ABBREVIATION SIGN
118A0..118DF  ; 0 # L&  [64] WARANG CITI CAPITAL LETTER NGAA..WARANG CITI SMALL LETTER VIYO
118E0..118E9  ; 0 # Nd  [10] WARANG CITI DIGIT ZERO..WARANG CITI DIGIT NINE
118EA..118F2  ; 0 # No   [9] WARANG CITI NUMBER TEN..WARANG CITI NUMBER NINETY
118FF..11906  ; 0 # Lo   [8] WARANG CITI OM..DIVES AKURU LETTER E
11909         ; 0 # Lo       DIVES AKURU LETTER O
1190C..11913  ; 0 # Lo   [8] DIVES AKURU LETTER KA..DIVES AKURU LETTER JA
11915..11916  ; 0 # Lo   [2] DIVES AKURU LETTER NYA..DIVES AKURU LETTER TTA
11918..1192F  ; 0 # Lo  [24] DIVES AKURU LETTER DDA..DIVES AKURU LETTER ZA
11930..11935  ; 0 # Mc   [6] DIVES AKURU VOWEL SIGN AA..DIVES AKURU VOWEL SIGN E
11937..11938  ; 0 # Mc   [2] DIVES AKURU VOWEL SIGN AI..DIVES AKURU VOWEL SIGN O
1193B..1193C  ; 0 # Mn   [2] DIVES AKURU SIGN ANUSVARA..DIVES AKURU SIGN CANDRABINDU
1193F         ; 0 # Lo       DIVES AKURU PREFIXED NASAL SIGN
11940         ; 0 # Mc       DIVES AKURU MEDIAL YA
11941         ; 0 # Lo       DIVES AKURU INITIAL RA
11942         ; 0 # Mc       DIVES AKURU MEDIAL RA
11944..11946  ; 0 # Po   [3] DIVES AKURU DOUBLE DANDA..DIVES AKURU END OF TEXT MARK
11950..11959  ; 0 # Nd  [10] DIVES AKURU DIGIT ZERO..DIVES AKURU DIGIT NINE
119A0..119A7  ; 0 # Lo   [8] NANDINAGARI LETTER A..NANDINAGARI LETTER VOCALIC RR
119AA..119D0  ; 0 # Lo  [39] NANDINAGARI LETTER E..NANDINAGARI LETTER RRA
119D1..119D3  ; 0 # Mc   [3] NANDINAGARI VOWEL SIGN AA..NANDINAGARI VOWEL SIGN II
119D4..119D7  ; 0 # Mn   [4] NANDINAGARI VOWEL SIGN U..NANDINAGARI VOWEL SIGN VOCALIC RR
119DA..119DB  ; 0 # Mn   [2] NANDINAGARI VOWEL SIGN E..NANDINAGARI VOWEL SIGN AI
119DC..119DF  ; 0 # Mc   [4] NANDINAGARI VOWEL SIGN O..NANDINAGARI SIGN VISARGA
119E1         ; 0 # Lo       NANDINAGARI SIGN AVAGRAHA
119E2         ; 0 # Po       NANDINAGARI SIGN SIDDHAM
119E3         ; 0 # Lo       NANDINAGARI HEADSTROKE
119E4         ; 0 # Mc       NANDINAGARI VOWEL SIGN PRISHTHAMATRA E
11A00         ; 0 # Lo       ZANABAZAR SQUARE LETTER A
11A01..11A0A  ; 0 # Mn  [10] ZANABAZAR SQUARE VOWEL SIGN I..ZANABAZAR SQUARE VOWEL LENGTH MARK
11A0B..11A32  ; 0 # Lo  [40] ZANABAZAR SQUARE LETTER KA..ZANABAZAR SQUARE LETTER KSSA
11A33         ; 0 # Mn       ZANABAZAR SQUARE FINAL CONSONANT MARK
11A35..11A38  ; 0 # Mn   [4] ZANABAZAR SQUARE SIGN CANDRABINDU..ZANABAZAR SQUARE SIGN ANUSVARA
11A39         ; 0 # Mc       ZANABAZAR SQUARE SIGN VISARGA
11A3A         ; 0 # Lo       ZANABAZAR SQUARE CLUSTER-INITIAL LETTER RA
11A3B..11A3E  ; 0 # Mn   [4] ZANABAZAR SQUARE CLUSTER-FINAL LETTER YA..ZANABAZAR SQUARE CLUSTER-FINAL LETTER VA
11A3F..11A46  ; 0 # Po   [8] ZANABAZAR SQUARE INITIAL HEAD MARK..ZANABAZAR SQUARE CLOSING DOUBLE-LINED HEAD MARK
11A50         ; 0 # Lo       SOYOMBO LETTER A
11A51..11A56  ; 0 # Mn   [6] SOYOMBO VOWEL SIGN I..SOYOMBO VOWEL SIGN OE
11A57..11A58  ; 0 # Mc   [2] SOYOMBO VOWEL SIGN AI..SOYOMBO VOWEL SIGN AU
11A59..11A5B  ; 0 # Mn   [3] SOYOMBO VOWEL SIGN VOCALIC R..SOYOMBO VOWEL LENGTH MARK
11A5C..11A89  ; 0 # Lo  [46] SOYOMBO LETTER KA..SOYOMBO CLUSTER-INITIAL LETTER SA
11A8A..11A96  ; 0 # Mn  [13] SOYOMBO FINAL CONSONANT SIGN G..SOYOMBO SIGN ANUSVARA
11A97         ; 0 # Mc       SOYOMBO SIGN VISARGA
11A98         ; 0 # Mn       SOYOMBO GEMINATION MARK
11A9A..11A9C  ; 0 # Po   [3] SOYOMBO MARK TSHEG..SOYOMBO MARK DOUBLE SHAD
11A9D         ; 0 # Lo       SOYOMBO MARK PLUTA
11A9E..11AA2  ; 0 # Po   [5] SOYOMBO HEAD MARK WITH MOON AND SUN AND TRIPLE FLAME..SOYOMBO TERMINAL MARK-2
11AB0..11AF8  ; 0 # Lo  [73] CANADIAN SYLLABICS NATTILIK HI..PAU CIN HAU GLOTTAL STOP FINAL
11B00..11B09  ; 0 # Po  [10] DEVANAGARI HEAD MARK..DEVANAGARI SIGN MINDU
11C00..11C08  ; 0 # Lo   [9] BHAIKSUKI LETTER A..BHAIKSUKI LETTER VOCALIC L
11C0A..11C2E  ; 0 # Lo  [37] BHAIKSUKI LETTER E..BHAIKSUKI LETTER HA
11C2F         ; 0 # Mc       BHAIKSUKI VOWEL SIGN AA
11C30..11C36  ; 0 # Mn   [7] BHAIKSUKI VOWEL SIGN I..BHAIKSUKI VOWEL SIGN VOCALIC L
11C38..11C3D  ; 0 # Mn   [6] BHAIKSUKI VOWEL SIGN E..BHAIKSUKI SIGN ANUSVARA
11C3E         ; 0 # Mc       BHAIKSUKI SIGN VISARGA
11C40         ; 0 # Lo       BHAIKSUKI SIGN AVAGRAHA
11C41..11C45  ; 0 # Po   [5] BHAIKSUKI DANDA..BHAIKSUKI GAP FILLER-2
11C50..11C59  ; 0 # Nd  [10] BHAIKSUKI DIGIT ZERO..BHAIKSUKI DIGIT NINE
11C5A..11C6C  ; 0 # No  [19] BHAIKSUKI NUMBER ONE..BHAIKSUKI HUNDREDS UNIT MARK
11C70..11C71  ; 0 # Po   [2] MARCHEN HEAD MARK..MARCHEN MARK SHAD
11C72..11C8F  ; 0 # Lo  [30] MARCHEN LETTER KA..MARCHEN LETTER A
11C92..11CA7  ; 0 # Mn  [22] MARCHEN SUBJOINED LETTER KA..MARCHEN SUBJOINED LETTER ZA
11CA9         ; 0 # Mc       MARCHEN SUBJOINED LETTER YA
11CAA..11CB0  ; 0 # Mn   [7] MARCHEN SUBJOINED LETTER RA..MARCHEN VOWEL SIGN AA
11CB1         ; 0 # Mc       MARCHEN VOWEL SIGN I
11CB2..11CB3  ; 0 # Mn   [2] MARCHEN VOWEL SIGN U..MARCHEN VOWEL SIGN E
11CB4         ; 0 # Mc       MARCHEN VOWEL SIGN O
11CB5..11CB6  ; 0 # Mn   [2] MARCHEN SIGN ANUSVARA..MARCHEN SIGN CANDRABINDU
11D00..11D06  ; 0 # Lo   [7] MASARAM GONDI LETTER A..MASARAM GONDI LETTER E
11D08..11D09  ; 0 # Lo   [2] MASARAM GONDI LETTER AI..MASARAM GONDI LETTER O
11D0B..11D30  ; 0 # Lo  [38] MASARAM GONDI LETTER AU..MASARAM GONDI LETTER TRA
